{,id,lat,lon,tags{,operator,brand,source:date,},}
,34974,44.72837171643388,8.934509307146072,,Keropetrol S.P.A.,Keropetrol,2018-04-12,,
,38590,44.83471785149353,8.737301230430603,,Easy Service S.R.L.,Energas,2018-04-12,,
,37888,44.67405146455488,9.094219973589816,,Benzoil Societa' A Responsabilita' Limitata Semplificata,Pompe Bianche,2018-04-12,,
,8685,44.72667305902961,9.037081003189087,,Morando Celestina,Tamoil,2018-04-12,,
,26208,45.111008949350136,8.45149040222168,,Berta Gabriel,Agip Eni,2018-04-12,,
,33254,45.1082291139502,8.451649993658066,,3D S.R.L.,Tamoil,2018-04-12,,
,5125,45.12960225337484,8.475544452667236,,Trovato Giuseppe,Agip Eni,2018-04-12,,
,5511,45.11831510731237,8.455730635581972,,Gestioni Europa S.P.A.,Total Erg,2018-04-12,,
,6404,45.148288078738005,8.444239019643419,,Servizi & Gestioni Italia Srl,Q8,2018-04-12,,
,11452,45.12376908882875,8.45124363899231,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,7288,45.1228555684981,8.464308679103851,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,37632,45.147499349021196,8.444190992404174,,Costantin Distribuzione E Servizi Srl,Costantin,2018-04-12,,
,39839,45.162602213522675,8.460340350866318,,Riccobono Alessia,Agip Eni,2018-04-12,,
,31127,45.10778563226714,8.437961888726932,,Casadei Massimo,Esso,2018-04-12,,
,39344,45.14412584282083,8.446620857672087,,Farello Marco,Esso,2018-04-12,,
,33907,45.14114306094663,8.450644165277481,,Europam S.P.A.,Europam,2018-04-12,,
,4973,45.11382499184595,8.443952053785324,,Ravazzotto Sandra,Pompe Bianche,2018-04-12,,
,10959,45.133419414560976,8.44805727598191,,Palmeri Pietro,Api-Ip,2018-04-12,,
,28556,45.15369375522906,8.448679388885466,,La Tortonese Di Grazioli Carlo E C. S.N.C.,Pompe Bianche,2018-04-12,,
,31488,45.11975759048249,8.492206335067749,,Repsol Italia S.P.A.,Repsol,2018-04-12,,
,17871,45.15847353485325,8.426594138145447,,Alires Di Alineri Oscar,Esso,2018-04-12,,
,37136,45.124261516953965,8.445535898208618,,Meneghetti Alessandro,Tamoil,2018-04-12,,
,10985,45.14562027661047,8.445768039950508,,Rabagliati Gianni,Total Erg,2018-04-12,,
,12387,45.13119518050285,8.471979796886444,,Demaria Ivo,Total Erg,2018-04-12,,
,12662,44.91584772910386,8.982343822717667,,Bruggi Sergio,Q8,2018-04-12,,
,39596,44.76482962046291,8.861463601258038,,Ah.Ib Di Ahmed Ibrahim Hassan,Pompe Bianche,2018-04-12,,
,38739,44.77763888017939,8.537268117070198,,F.Lli Aiachini Di Simone E Carlo Aiachini S.N.C.,Keropetrol,2018-04-12,,
,6897,44.75224368424258,8.528593182563782,,Toselli Pierangelo,Agip Eni,2018-04-12,,
,31339,44.81958678913551,8.594934940338135,,Nuova Sidap  S.R.L.,Esso,2018-04-12,,
,3622,44.817164294623424,8.593924839286842,,A.D.S. Bormida Ovest Di Max Stefano,Total Erg,2018-04-12,,
,17274,44.84855109778659,8.574221581220627,,F.Lli Aiachini Di Simone E Carlo Aiachini S.N.C.,Keropetrol,2018-04-12,,
,13220,44.85094129357722,8.613011920009285,,T.A.M. Petrol Di Molina Giuseppe E Gianluca S.A.S,Tamoil,2018-04-12,,
,40043,44.689459911387225,8.696196006059267,,Tacchino Rita,Esso,2018-04-12,,
,34482,44.97819451085999,8.56962963938713,,Mazzoleni Federico,Agip Eni,2018-04-12,,
,3595,44.934255190267784,8.853406559524501,,3 T S.N.C. Di Tartaglione Sabatino E C.,Tamoil,2018-04-12,,
,3606,44.933913612012745,8.852185606956482,,Silla Fabio E C. - S.N.C.,Agip Eni,2018-04-12,,
,9938,44.97875278981931,8.88831737301632,,Trovamala Ezio,Agip Eni,2018-04-12,,
,31301,44.63196586147515,8.615738153457642,,Kerotris - Societa' A Responsabilita' Limitata,Kerotris,2018-04-12,,
,33913,44.786147787344596,9.14641723036766,,Europam S.P.A.,Europam,2018-04-12,,
,38630,44.90091448085069,8.432559370994568,,Full Energy S.A.S. Di Costa Rosalia E C.,Agip Eni,2018-04-12,,
,32629,44.83845072831827,8.681498227043335,,Ip Services S.R.L.,Api-Ip,2018-04-12,,
,10321,44.96505412912552,8.428419381380081,,Fracchia Giovanni,Agip Eni,2018-04-12,,
,20380,45.159221520294615,8.17576004299167,,Garimanno Francesco,Tamoil,2018-04-12,,
,11450,44.69046688038487,8.819594085216522,,Benassi Roberto,Agip Eni,2018-04-12,,
,8875,44.63587172973932,8.714568140228607,,Benzo Maurizio,Api-Ip,2018-04-12,,
,10825,45.1191227064854,8.246226984130885,,Riccobono Alessia,Agip Eni,2018-04-12,,
,16764,45.11634468026809,8.261091113090515,,Melia Giuseppe,Tamoil,2018-04-12,,
,30694,44.59835733486212,8.353025168180466,,Lavagna Benito,Q8,2018-04-12,,
,4956,44.83789050959627,8.952918737434402,,So.Ge.Di Di Ratti Francesco & C. S.A.S.,Ratti,2018-04-12,,
,20605,44.85599098912033,9.005210767922563,,Lugano Daniele,Total Erg,2018-04-12,,
,13732,45.16318432745216,8.403520435094833,,K Net S.R.L.,Kerotris,2018-04-12,,
,16334,45.08799555801812,8.129347711801529,,Gamarino S.A.S. Di Gamarino Sergio Achille E C.,Tamoil,2018-04-12,,
,30770,44.77576623433885,8.789794743061066,,T.D.M. S.R.L.,Tamoil,2018-04-12,,
,19450,44.76702526257472,8.813390135765076,,Traverso Andrea,Pompe Bianche,2018-04-12,,
,3877,44.7609768990991,8.83840982209017,,Totalerg S.P.A.,Total Erg,2018-04-12,,
,3879,44.76012199999999,8.8371120846557,,Totalerg S.P.A.,Total Erg,2018-04-12,,
,40749,44.76677532207809,8.767928034067154,,Max Service Di Max Stefano & C. S.N.C.,Agip Eni,2018-04-12,,
,41183,44.75611942434234,8.798246383666992,,Stazione Di Servizio Agip N. 11415 Di Carano Enrico,Agip Eni,2018-04-12,,
,6942,44.75813149653807,8.794127367246574,,G.E. Carburanti S.N.C. Di Sterpi Ezio & C.,Api-Ip,2018-04-12,,
,3801,44.8006432348141,8.748666387557932,,Autobar Di Ginetti G. & C. Srl,Total Erg,2018-04-12,,
,3688,44.800784422120245,8.751063644886017,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,36525,44.74756380603914,8.811774271163927,,New Truck S.R.L.,Keropetrol,2018-04-12,,
,6406,44.76899914598797,8.803740995770227,,Servizi & Gestioni Italia Srl,Q8,2018-04-12,,
,15868,44.76882042248461,8.788593113422394,,F.P. - Oil S.N.C. Di Verdona Fabio E Paolo,Agip Eni,2018-04-12,,
,11458,44.770325677047474,8.77283411045073,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
