{,id,lat,lon,tags{,operator,brand,description,addr:postcode,addr:city,source:date,},}
,9824,45.956663541289494,12.835702457672141,,M. &. G. Di Moretto C. E Gava D. S.N.C.,Pompe Bianche,Statale 13 Pontebbana  Km. 94+615  Dir. Udine 33072,33072,Casarsa Della Delizia,2018-04-09,,
,6807,45.944253080337695,12.835777070500171,,Marinacci Renato,Total Erg,Via Plebiscito 35 33072,33072,Casarsa Della Delizia,2018-04-09,,
,17054,46.18547289485765,12.766555845737457,,F.Lli Pontello Srl,Agip Eni,Via Petrarca 9 33092,33092,Cavasso Nuovo,2018-04-09,,
,18565,45.839172757543906,12.723163757147177,,Bressan Edi & Enzo S.N.C.,Esso,Via Marconi 41 33083,33083,Chions ,2018-04-09,,
,6023,45.86110017918074,12.768559042420748,,Fiorenergy Srl,Tamoil,Via I Maggio 1/A 33083,33083,Chions,2018-04-09,,
,12660,45.87816873129784,12.77924337167201,,Sottil Giovanni,Agip Eni,Via Strada Prov. S. Vito-Motta  33080,33080,Chions,2018-04-09,,
,4344,45.98671862897875,12.687945476196319,,Peron Massimo,Agip Eni,Via Maestra 170 33084,33084,Cordenons,2018-04-09,,
,4569,45.97580114484058,12.688541837272169,,Fratelli Favaro S.N.C. Di Favaro Claudio E Favaro Marco,Agip Eni,Via Sclavons 136 33084,33084,Cordenons,2018-04-09,,
,5681,45.97853574551794,12.693384275319318,,Della Zotta Giancarlo,Api-Ip,Via Sclavons 100 33084,33084,Cordenons,2018-04-09,,
,39463,45.96162659353253,12.704810732471515,,Tumiotto Francesco & C. S.N.C.,Socogas,Via Chiavornicchio  40/A 33084,33084,Cordenons,2018-04-09,,
,34493,45.85029979520481,12.881980795700883,,Fratelli Favaro S.N.C. Di Favaro Claudio E Favaro Marco,Agip Eni,Piazza Cecchini 1 33075,33075,Cordovado,2018-04-09,,
,26319,46.27002439899068,12.344842851161957,,Eugas S.R.L.,Eugas,Str. Reg. 251 Al Km 95+990 Dx Sn 33080,33080,Erto E Casso,2018-04-09,,
,26161,45.92977385994317,12.734707295894623,,Autolavaggi B.M. Di Borean Tiberio & C. S.N.C.,Pompe Bianche,Via San Francesco  28 33080,33080,Fiume Veneto,2018-04-09,,
,32942,45.92034562143495,12.774218023421895,,Denizi Ali,Agip Eni,Via San Vito  34 33080,33080,Fiume Veneto,2018-04-09,,
