6942;G.E. CARBURANTI S.N.C. DI STERPI EZIO & C.;Api-Ip;44.75813;8.79413
3801;AUTOBAR DI GINETTI G. & C. SRL;Total Erg;44.80064;8.74867
3688;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.80078;8.75106
36525;NEW TRUCK S.R.L.;KEROPETROL;44.74756;8.81177
6406;SERVIZI & GESTIONI ITALIA srl;Q8;44.76900;8.80374
15868;F.P. - OIL S.N.C. DI VERDONA FABIO E PAOLO;Agip Eni;44.76882;8.78859
11458;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.77033;8.77283
4954;SO.GE.DI DI RATTI FRANCESCO & C. S.A.S.;Ratti;44.77342;8.76432
35360;G&G SNC DI GRILLO MARCO & C.;Repsol;44.76953;8.74596
36381;NUOVA R.O.P. DI ROSA ROMOLO & C. S.N.C.;Retitalia;44.75834;8.80752
13168;PELIZZA MASSIMO;Total Erg;44.76927;8.78875
17109;GE.MA. DI DAGA GIOVANNA;Agip Eni;45.06904;8.49389
38067;NUOVA SIDAP  S.R.L.;Tamoil;45.07534;8.51071
23131;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;45.07373;8.50956
20414;BRIXIA FINANZIARIA S.R.L.;Retitalia;45.05573;8.51217
10563;PASQUA ALDO;Total Erg;44.65135;8.65459
35057;DIMAX DI MAX MARCO;Agip Eni;44.63801;8.64911
39627;L'OASI  S.A.S. DI BARONE SALVATORE & C.;Agip Eni;44.63060;8.64492
18146;ALLOISIO FRATELLI DI ALLOISIO GIAN LORENZO E VANIA S.N.C.;Esso;44.62264;8.62451
15017;ROSSO GIACINTO;Api-Ip;44.65270;8.65511
11453;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.63158;8.64473
11246;AUTOEQUIPE DI PONGOLI GABRIELE;Q8;44.86081;8.49323
20499;MENEGHETTI ALESSANDRO;Tamoil;45.10755;8.36137
26988;COM.PET VALENZA S.R.L.;Pompe Bianche;45.05782;8.61018
13830;BECOJL SRL;Kerotris;44.94360;8.91504
17787;SCAPOLAN PAOLO;Esso;44.96296;8.93491
38948;FUEL SERVICE S.N.C. DI MELONI FABRIZIO & C.;Agip Eni;44.79556;8.77757
36527;NEW TRUCK S.R.L.;KEROPETROL;44.78766;8.78803
36678;NEW TRUCK S.R.L.;Pompe Bianche;44.78766;8.78802
7194;PONASSI S.N.C. DI PONASSI MASSIMIGLIANO & C.;Esso;44.90375;8.36453
25988;FULL AND DRIVE S.A.S. DI NAVONE ANDREA VINCENZO, PERETTA FRANCO & C.;Esso;44.70496;8.54645
41683;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.87352;8.82975
28336;PENSA STEFANO;Europam;44.96852;8.81327
11127;LAMANNA MAURIZIO;Esso;44.98298;8.81264
35696;IACOCARBURANTI DI IACOMINO LUIGI;Api-Ip;45.10177;8.41861
32320;NEW TRUCK S.R.L.;Pompe Bianche;45.01417;8.54979
28443;ZAMBRUNO MONICA E ILARIA SNC;Tamoil;44.78984;9.05464
42239;DL S.N.C. DI LO TORTO MICHELE E C.;Esso;44.73059;8.84927
35322;EREDI CAMPIDONICO - S.P.A.;Total Erg;44.74234;8.84615
10406;BLU DI MANNO CONCETTA & C. S.A.S.;Agip Eni;44.73203;8.83760
7300;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.73516;8.83350
8341;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.72730;8.85421
32172;DIS-CAR DI SARRA PAOLO & C. S.N.C.;Api-Ip;44.78554;8.57113
7358;SETNICKA MARCO;Q8;44.67661;8.66948
28723;GARBARINO WALTER;Retitalia;44.54156;8.33451
42512;ERRETRE S.R.L.;Pompe Bianche;44.71353;8.53229
25111;BECCARIA S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA;Q8;44.67548;8.42050
11151;RIZZATO MARCO;Tamoil;45.09598;8.54739
6819;VERGAGNI ROBERTO;Agip Eni;44.89986;8.86415
35124;PAMPURI EMILIANO;Agip Eni;44.90080;8.83920
31896;GESTIONI INNOVATIVE ITALIA S.R.L.;Agip Eni;44.90852;8.87973
4955;SO.GE.DI DI RATTI FRANCESCO & C. S.A.S.;Ratti;44.85793;8.87702
29685;SO.GE.DI DI RATTI FRANCESCO & C. S.A.S.;Ratti;44.90790;8.86647
4953;SO.GE.DI DI RATTI FRANCESCO & C. S.A.S.;Ratti;44.90662;8.86998
11406;GEMME ROBERTO;Q8;44.87352;8.82974
10308;GRAVANTE FERDINANDO;Pompe Bianche;44.90540;8.88675
34697;ROME S.N.C. DI ALI A., IQBAL N. E ROME I.;Pompe Bianche;44.87002;8.85904
25836;SARTOR FIORENZO;Esso;44.88213;8.85841
4968;FRACCHETTA SANDRINO;Retitalia;44.89379;8.84057
38791;STAZIONE DI SERVIZIO AGIP DI DI CARMINE LUIGI;Agip Eni;44.90129;8.86880
7428;PERSETTI ARMANO GIOVANNA;Tamoil;44.87341;8.85705
15040;VACCHELLI GIACOMO GAETANO;Api-Ip;44.89497;8.84737
10077;GESTIONI EUROPA - SOCIETA' PER AZIONI;Total Erg;44.88125;8.85820
7108;"S.S.C. SOCIETA' SVILUPPO COMMERCIALE S.R.L." IN SIGLA "S.S.C. S. R.L.;Carrefour;44.88260;8.85555
28675;"IP SERVICES S.R.L.";Api-Ip;44.90084;8.87244
23835;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.88951;8.85942
3798;COGI DI CORBETTA GIGI E C. S.A.S.;Q8;44.93517;8.88367
4638;NUOVA SIDAP  S.R.L.;Esso;44.89498;8.84833
3529;VIPA OIL S.N.C. DEI F.LLI VERDONA PAOLO E FABIO & C.;Agip Eni;44.93521;8.88557
42410;BIDONE BARBARA;Total Erg;44.89554;8.85396
30461;EL.PA. S.N.C. DI TIRIBELLO PAOLO E PRINA ELENA;Total Erg;44.89554;8.85386
16328;ACI-SERVIZI ALESSANDRIA S.R.L.;Api-Ip;45.00800;8.63699
38931;GRIGOLETTO FABRIZIO  DISTRIBUTORE ENI;Agip Eni;45.00453;8.63473
40913;RI.AL. S.A.S. DI LO TORTO MICHELE E C.;Esso;44.99672;8.63914
17209;CABONA EZIO ALESSANDRO;Api-Ip;45.02207;8.63021
27635;GESTIONI INNOVATIVE ITALIA S.R.L.;Agip Eni;45.00448;8.66183
30940;CAPELLINO SARA;Tamoil;45.01090;8.64678
6408;SERVIZI & GESTIONI ITALIA srl;Q8;45.00365;8.63856
33888;EMMEPI DI PREGNOLATO MICHELA;Tamoil;45.00938;8.39396
29320;NEW TRUCK S.R.L.;Pompe Bianche;44.70632;8.89261
27342;DEMICHELIS LUISA;Pompe Bianche;45.17988;8.47229
7297;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;45.16693;8.46500
36908;GABBIANELLI STEFANO;Agip Eni;43.55162;13.39239
38962;UNIONE PETROLI S.R.L.;Pompe Bianche;43.57209;13.51640
38963;UNIONE PETROLI S.R.L.;Pompe Bianche;43.57166;13.51566
39032;UNIONE PETROLI S.R.L.;Pompe Bianche;43.60205;13.47883
16008;METANO 96 SRL;Agip Eni;43.61378;13.49835
40994;"IP SERVICES S.R.L.";Api-Ip;43.55890;13.52527
6605;SERVIZI & GESTIONI ITALIA srl;Q8;43.59346;13.52100
19939;INTERPETROL - S.R.L.;Interpetrol;43.59340;13.51997
40051;IMPIANTI DISTRIBUZIONE PETROLI - S.R.L.;Q8;43.56119;13.51047
31994;MAR.FI. S.R.L.;Esso;43.61304;13.50297
