ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
13865,,,Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.,,46.15812,13.24365
5077,,,Bieffe di Policella Roberto & C. S.N.C.,San Marco Petroli,46.07873,13.30114
35999,,,Gattesco Luca,Esso,46.06083,13.31113
20244,,,Moretti Giovanni,Esso,46.39501,13.2153
13270,,,Pochero Roberto,Api-Ip,46.54906,12.85428
12383,yes,,D'angelo Ivan,Agip Eni,46.11175,13.03103
35819,yes,,Singh Manjit,Api-Ip,46.12107,13.0008
27651,yes,,Degano Cesare,Api-Ip,45.89021,13.03475
27995,,,De Paoli Silvio & C. S.N.C.,Api-Ip,45.81146,13.0054
41984,yes,,De Paoli Silvio & C. S.N.C.,Api-Ip,45.81146,13.0054
23352,,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,45.7978,12.99371
15517,yes,,Singh Gurdial,Api-Ip,45.82792,13.40123
4238,yes,,Buttazzoni Aleardo di Moroso Paolo & C. S.A.S,Agip Eni,46.1487,12.98891
42727,,,Bff & Partners di Monica Scaggiante e C. S.N.C.,Esso,46.14413,12.97887
37251,,,Arena Edoardo - Stazione di Servizio Esso,Esso,46.14416,12.97884
9834,,,Fioretto Mario,Esso,46.16067,13.0033
10193,,,Ornella Michele,Esso,46.15252,13.00873
42415,,,Cantieri Marina San Giorgio S.p.A.,,45.80281,13.22762
27646,,,Ylli Service S.N.C. di Hasramaj Ylli e C.,Esso,45.82771,13.23862
12287,,,Pez Diego,Agip Eni,45.83793,13.21153
7326,,,Som S.p.A.,Agip Eni,45.83435,13.19405
7283,yes,,Servizi & Gestioni Italia S.R.L.,Q8,45.82234,13.21508
39515,,,Bff & Partners di Monica Scaggiante e C. S.N.C.,Agip Eni,45.96753,13.39823
24846,,,B & T S.N.C. di Bonessi M. & C.,Esso,45.97354,13.39618
38794,,,Robin's S.A.S. di Mucchiut Sabrina e C.,Esso,45.95401,13.39483
42033,,,Bff & Partners di Monica Scaggiante e C. S.N.C.,Esso,45.95401,13.39484
39189,,,Riverside Entertainment S.R.L.S. - Società a Responsabilità Limitata Semplificata,Esso,45.98393,13.40527
13037,,,Terlicher Antonio & C. S.N.C.,Agip Eni,46.11539,13.50535
28207,,,Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.,,45.89208,13.37806
9179,,,Lb di Lauzzana Rita,,46.09265,13.073
25701,,,S.p.A.ngaro Stefano e C. S.A.S.,,45.93117,13.27886
14643,,,Da Angela di Fabris Giacomino & C. - S.A.S.,Agip Eni,46.02695,12.93728
22903,,,Porfido S.N.C. di Porfido Claudio & C.,Tamoil,45.99731,12.96808
33487,,,Bar Alla Posta di Pacelli Giovanni,Api-Ip,46.4034,12.82372
39519,,,Plus Service di De Paoli Marco & C. S.N.C.,Esso,45.93872,13.12035
19925,yes,,Marco Specogna & C. S.A.S.,Api-Ip,45.94309,13.10048
10567,,,Astolfi Marco,Agip Eni,46.2126,13.21265
31546,yes,,Toffolo Gianluca,Agip Eni,46.20619,13.18826
39125,,,Collini Mauro,Agip Eni,46.50618,13.5652
40572,,,Autostazione Rifornimenti S.N.C. di Del Ross Alberto & C.,Esso,46.5055,13.56922
41516,yes,,Chand Lal,Api-Ip,46.09704,13.19753
7772,,,Dal Magro Tiziana,Esso,46.10461,13.22948
31746,yes,,Miani Carlo,Api-Ip,46.09705,13.19744
24421,,,Vanello Eugenio & Figli S.P.A,,46.11822,13.2174
25044,,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,46.10005,13.22203
35330,,,Stazione Eni di Mazza Giovanni,Esso,46.10021,13.2063
7128,,,S.S.C. Società Sviluppo Commerciale S.R.L. in sigla S.S.C. S. R.L.,Q8,46.11655,13.22396
23443,,,Servizi & Gestioni Italia S.R.L.,Q8,46.0942,13.22495
11911,,,Servizi & Gestioni Italia S.R.L.,Q8,46.10118,13.23007
41414,,,Talarico Monica,Api-Ip,46.10703,13.22027
41415,,,Talarico Monica,Api-Ip,46.10699,13.22026
26747,,,T.Z. di Toso Vanessa,Total Erg,46.10707,13.22023
9735,,,Bearzi Bruno,Esso,46.4031,13.01892
33192,,,Carboil S.A.S. di Romanini Ivan & C.,Agip Eni,46.4011,13.02236
7269,yes,,Servizi & Gestioni Italia S.R.L.,Q8,46.42034,13.021
11909,,,Servizi & Gestioni Italia S.R.L.,Q8,46.40279,13.01741
29516,,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,46.38958,13.02627
8628,,,Tomat Franca,Agip Eni,46.11161,13.40717
39261,,,Gasoline S.A.S. di Maccagnan Gian Luca & C.,Esso,45.82869,13.28097
41312,,,Be.Oil di Fabbro Edoardo & C. S.A.S.,Agip Eni,46.2813,13.08072
7000,,,Agrofriul S.R.L.,Total Erg,46.1889,13.15842
31961,,,De Vitt Cristiano,Api-Ip,46.16569,13.20928
41764,,,Leban Michela,Api-Ip,46.15003,13.22001
7232,,,Stazione di Servizio di Morello Gil & C. S.N.C.,Api-Ip,46.15004,13.22008
21028,,,Sostero f.lli S.N.C. di Sostero Marco & Massimo,Esso,46.16004,13.21073
6986,yes,,Jetrent S.R.L.,Api-Ip,46.17061,13.206
