ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
24622,yes,,Distributore Telloli e Panizza di Telloli Stefano & C. S.N.C.,Agip Eni,44.83543,12.08204
40094,yes,,Zucchini Maurizio,Agip Eni,44.73559,12.21131
7286,yes,,Servizi & Gestioni Italia S.R.L.,Q8,44.69268,12.21823
23808,yes,,Distributore Del Lido di Siddi Massimo e C. S.N.C.,Agip Eni,44.66552,12.23153
28596,yes,,Itapol S.N.C. di Finessi Stefano & C.,Api-Ip,44.78774,12.18197
4008,,yes,Del - Fin S.R.L.,Agip Eni,44.71167,12.22054
36278,yes,,Multi3 S.R.L.,Agip Eni,44.73258,12.20889
17452,yes,,De Ieso Luigi - Stazione di Servizio,,44.70471,12.22188
37981,,yes,Grbic Borivoj,,44.88377,11.81748
24581,yes,,Succi Maurizio,Esso,44.88933,11.80207
10549,yes,,Agip di Grassilli Serena,Agip Eni,44.74713,11.68308
33932,yes,,Beltrami S.N.C. di Beltrami Claudio e Occhi Raffaella,Q8,44.84777,11.59156
19506,yes,,Grandi Dario,,44.80633,11.8675
4863,,yes,C.M. di Curri Alberto & C. - S.N.C.,Agip Eni,44.81228,11.63235
13129,yes,,"Sivieri Baraldi Zagagnoni di Sivieri Onorio, Baraldi Sergio e Zagagnoni Fabrizio - Società in Nome Collettivo",Api-Ip,44.85759,11.61355
35972,yes,,Carburanti 3.0 S.R.L.,Enercoop,44.84428,11.65087
31544,yes,,Ip Services S.R.L.,Api-Ip,44.8269,11.6867
17371,yes,,Pencarelli Claudio,,44.84807,11.58175
39798,yes,,Cazzanti Renzo,Api-Ip,44.80963,11.59146
10853,,yes,Metano Piacenza di Roberto Illica - Magrini & Mauro Partel S.N.C.,,44.84864,11.59667
4523,,yes,Metano Montalbano di Golfieri Alvaro & C. S.N.C.,,44.74152,11.5702
37117,yes,yes,Pi.Me. S.R.L.,Api-Ip,44.87889,11.56939
21835,yes,,Saugo Luca,,44.80884,11.69294
41412,yes,,Co.Bo. S.A.S. di Bommino Maria e C.,Agip Eni,44.81537,11.63025
40207,yes,,Guerra Giuseppe,Api-Ip,44.77529,11.57794
4992,yes,,Stazione di Servizio Totalerg di Pesci Cristiano,Total Erg,44.8255,11.67075
24464,yes,,Zocca Pierluigi e Figli S.N.C.,Api-Ip,44.84709,11.53163
33787,yes,,"Area Servizio Ponte Scalabrina di Lenzi M., Campioni M. & C. S.N.C.",Agip Eni,44.74867,11.91483
40649,yes,,Gierre di Realdini Andrea,Agip Eni,44.78861,11.96179
14815,,yes,Bianchi & C. di Bianchi Giuseppe & C. - S.N.C.,Agip Eni,44.81113,12.01281
12070,yes,,Grandi Marco,Api-Ip,44.84237,11.85107
23086,yes,,Ale S.A.S. di Costantino Salvatore & C.,Api-Ip,44.81574,11.92409
33244,yes,,Pozzati Luca,Agip Eni,44.90672,12.23054
14814,,yes,Bianchi & C. di Bianchi Giuseppe & C. - S.N.C.,Agip Eni,44.74728,11.9618
34821,yes,,Pizzolo Roberto,Agip Eni,44.77889,11.54274
39025,,yes,Sarmet - S.R.L.,,44.77297,11.4807
40625,yes,,Distributare Carburanti e Lavaggio Ripa di Tani Enrico,Agip Eni,44.68089,11.79156
40160,,yes,Distributore di Metano di Cavallari Donatella,,44.70831,11.78493
13406,yes,,Sisti Raffaele,,44.7084,11.78481
36719,yes,,Sarni S.R.L.,Sarni Oil,41.78027,15.38544
29022,yes,,Drive Food S.R.L.,Esso,41.17818,15.63275
17126,yes,,Pangea S.R.L.,Total Erg,41.21471,15.5608
26233,yes,,Tenace Petrol S.R.L.,,41.84578,15.69878
17713,yes,yes,Autometano Candela S.R.L.,Api-Ip,41.14681,15.52077
